group,corpus_title,avg_like_count,avg_browse_count,article_count,avg_article_length,max_corpus_day,writer_name,writer_url
AI&MachineLearning,以100張圖理解NeuralNetwork--觀念與實踐系列,2.0,449.8333333333333,6,2366.8333333333335,6,IcodesoIam.,https://ithelp.ithome.com.tw/users/20001976/ironman
AI&MachineLearning,利用MSBotframework與CognitiveService建構自用智慧小秘書系列,0.38461538461538464,538.3846153846154,13,977.6153846153846,13,DuranHsieh,https://ithelp.ithome.com.tw/users/20091494/ironman
AI&MachineLearning,深度學習環境安裝筆記系列,0.0,366.2,5,478.2,5,a7552005,https://ithelp.ithome.com.tw/users/20091307/ironman
AI&MachineLearning,玩轉資料與機器學習-以自然語言處理為例系列,0.3,580.1,10,1106.9,10,GoatWang,https://ithelp.ithome.com.tw/users/20107576/ironman
AI&MachineLearning,讓我們一起來見見歐美語音助理界的當紅炸子雞-Alexa吧!系列,0.0,629.375,8,566.625,8,Bonny,https://ithelp.ithome.com.tw/users/20107290/ironman
DataTechnology,GraphQL+ApolloData入門系列,0.7,510.5,10,958.9,10,polo,https://ithelp.ithome.com.tw/users/20103438/ironman
DataTechnology,"Hadoopecosystem工具簡介,安裝教學與各種情境使用系列",0.46153846153846156,521.3076923076923,13,889.6153846153846,13,stana,https://ithelp.ithome.com.tw/users/20107349/ironman
DataTechnology,MicrosoftBotFramework30天上手系列,0.4444444444444444,522.6666666666666,9,457.77777777777777,9,Wolke,https://ithelp.ithome.com.tw/users/20046160/ironman
DataTechnology,Python學習筆記系列,0.16666666666666666,543.3333333333334,12,492.25,12,Bonny,https://ithelp.ithome.com.tw/users/20107290/ironman
DataTechnology,職場老鳥的資料科學初體驗-R語言專案實作紀錄系列,0.0,487.8333333333333,12,399.9166666666667,12,Kimi0,https://ithelp.ithome.com.tw/users/20107033/ironman
DevOps,30天入門Ansible及Jenkins[2018]系列,0.4,376.6,5,946.4,5,tsoliangwu0130,https://ithelp.ithome.com.tw/users/20103346/ironman
DevOps,Nightwatch101：使用Nightwatch實現End-to-EndTesting系列,0.3333333333333333,2213.6666666666665,6,666.6666666666666,6,cythilya,https://ithelp.ithome.com.tw/users/20092232/ironman
DevOps,Ops的轉職之路-Puppet從入門就放棄系列,0.0,476.8,5,1363.8,5,shazi7804,https://ithelp.ithome.com.tw/users/20089211/ironman
DevOps,大型敏捷專案的DevOps系列,0.0,634.2,5,469.4,5,AkitoSun,https://ithelp.ithome.com.tw/users/20094400/ironman
DevOps,用30天來介紹和使用Docker系列,0.9166666666666666,636.8333333333334,12,1289.25,12,yangj26952,https://ithelp.ithome.com.tw/users/20103456/ironman
ModernWeb,30天串接30個GoogleAPIs的服務應用系列,0.875,756.0,8,833.125,8,KingTzeng,https://ithelp.ithome.com.tw/users/20103130/ironman
ModernWeb,30天使用Node.js在AWS上開發後端系列,0.6666666666666666,712.1666666666666,6,840.1666666666666,6,neilwang,https://ithelp.ithome.com.tw/users/20107336/ironman
ModernWeb,ASP.NETMVC網頁程式介紹系列,0.0,392.7142857142857,7,875.7142857142857,7,小魚,https://ithelp.ithome.com.tw/users/20105694/ironman
ModernWeb,Confluence線上協同作業之平台系列,0.0,487.6363636363636,11,1059.6363636363637,11,ektrontek,https://ithelp.ithome.com.tw/users/20003705/ironman
ModernWeb,Expo---跨平台App開發從零到上架系列,0.0,556.0909090909091,11,772.2727272727273,11,iamcxa,https://ithelp.ithome.com.tw/users/20103342/ironman
ModernWeb,Go！從無到打造最佳行動網站系列,0.6,714.2,5,1226.2,5,網襪工程師,https://ithelp.ithome.com.tw/users/20107302/ironman
ModernWeb,JavaScript基礎二三事系列,0.38461538461538464,556.0,13,1129.6923076923076,13,Simon,https://ithelp.ithome.com.tw/users/20104221/ironman
